Row Labels,Trial Count,Max of Root Mean Square Error (RMSE),Average of Root Mean Square Error (RMSE)2
5,50,0.880887051,0.481600004
9,50,1.032726517,0.614040378
0.05,850,0.905117724,0.201760222
0,50,0.156967787,0.152918648
0.02,50,0.156365847,0.152390399
0.05,50,0.155365442,0.151729824
0.1,50,0.153623561,0.150429973
0.15,50,0.152349616,0.149261006
0.2,50,0.150183807,0.147874192
0.25,50,0.148734989,0.146565972
0.4,50,0.146185659,0.143348564
0.5,50,0.143515509,0.141494181
0.6,50,0.141789549,0.138169151
0.7,50,0.14034998,0.135058876
0.8,50,0.138705117,0.132600262
2,50,0.133265675,0.108563871
3,50,0.440920788,0.198716622
4,50,0.650380753,0.325628516
5,50,0.796473153,0.443107659
9,50,0.905117724,0.612066052
0.1,850,0.903231187,0.198724996
0,50,0.15860274,0.153677107
0.02,50,0.157501544,0.153179391
0.05,50,0.156544198,0.151977078
0.1,50,0.153749857,0.150181188
0.15,50,0.151581795,0.148631728
0.2,50,0.149911552,0.146964013
0.25,50,0.148726345,0.145481721
0.4,50,0.144430031,0.140718747
0.5,50,0.14180649,0.136916521
0.6,50,0.137899443,0.133725067
0.7,50,0.136512144,0.13140244
0.8,50,0.134523081,0.130103983
2,50,0.141013242,0.107797205
3,50,0.362761854,0.200771832
4,50,0.646229494,0.313715927
5,50,0.708286544,0.437175891
9,50,0.903231187,0.595905089
0.2,850,0.768177742,0.193226717
0,50,0.166220268,0.158008887
0.02,50,0.165027324,0.157006303
0.05,50,0.16271998,0.155737573
0.1,50,0.159525834,0.153970641
0.15,50,0.15623875,0.151719879
0.2,50,0.152947456,0.1500991
0.25,50,0.15104674,0.147821732
0.4,50,0.147525821,0.142127717
0.5,50,0.142464874,0.138180897
0.6,50,0.14089082,0.135034784
0.7,50,0.136714959,0.132688408
0.8,50,0.136946748,0.131098807
2,50,0.158091238,0.107292754
3,50,0.378410775,0.185874888
4,50,0.508815143,0.308356449
5,50,0.576227252,0.386403435
9,50,0.768177742,0.543431939
0.3,850,0.678572161,0.193338025
0,50,0.174241925,0.165468783
0.02,50,0.173292327,0.165604048
0.05,50,0.173220258,0.165454138
0.1,50,0.168721607,0.161067364
0.15,50,0.16299844,0.158269582
0.2,50,0.160230756,0.155957297
0.25,50,0.157678576,0.15339866
0.4,50,0.15449195,0.148162448
0.5,50,0.146797594,0.143531591
0.6,50,0.14541822,0.140066823
0.7,50,0.142059476,0.136771605
0.8,50,0.138675313,0.133031433
2,50,0.207922079,0.113433505
3,50,0.343136825,0.19954679
4,50,0.457312607,0.294197661
5,50,0.492632099,0.364352787
9,50,0.678572161,0.488431904
0.4,850,0.613526094,0.198014714
0,50,0.19394922,0.176991087
0.02,50,0.18755516,0.175349642
0.05,50,0.188646672,0.173071841
0.1,50,0.182772175,0.170258163
0.15,50,0.179086552,0.16691966
0.2,50,0.175725171,0.164525125
0.25,50,0.173175095,0.164557479
0.4,50,0.166990188,0.15834348
0.5,50,0.158265676,0.152445319
0.6,50,0.15361043,0.14562846
0.7,50,0.149244543,0.141402709
0.8,50,0.145889026,0.13986655
2,50,0.204742573,0.121065853
3,50,0.317002058,0.209663754
4,50,0.40099597,0.295796279
5,50,0.459699798,0.345286926
9,50,0.613526094,0.465077815
