Row Labels,Trial Count,Max of Root Mean Square Error (RMSE),Average of Root Mean Square Error (RMSE)2
0.15,50,0.305974751,0.267736309
0.2,50,0.296887882,0.267640576
0.25,50,0.311586278,0.269313465
0.4,50,0.306374078,0.264349031
0.5,50,0.286902045,0.259642047
0.6,50,0.291571175,0.249056732
0.7,50,0.289506864,0.230981161
0.8,50,0.294820549,0.211534866
2,50,0.357253006,0.30732491
3,50,0.396608509,0.346737532
4,50,0.444077274,0.384696737
5,50,0.475824791,0.403457811
9,50,0.640122746,0.511061231
0.3,850,0.590278936,0.318707664
0,50,0.365524028,0.309434378
0.02,50,0.358446368,0.301471436
0.05,50,0.339813719,0.300835915
0.1,50,0.335731258,0.299223276
0.15,50,0.351777864,0.306592748
0.2,50,0.353664632,0.307290156
0.25,50,0.351226573,0.311697246
0.4,50,0.337373389,0.295925809
0.5,50,0.339846452,0.286714837
0.6,50,0.334558908,0.270302857
0.7,50,0.306686455,0.263250563
0.8,50,0.328494958,0.253473509
2,50,0.338708125,0.314149965
3,50,0.391712217,0.341680323
4,50,0.418494763,0.375997317
5,50,0.453072909,0.396750619
9,50,0.590278936,0.483239334
0.4,850,0.535975082,0.334194604
0,50,0.397165831,0.319720738
0.02,50,0.358584663,0.321999742
0.05,50,0.388736863,0.334283348
0.1,50,0.389654838,0.330084413
0.15,50,0.373538991,0.320473975
0.2,50,0.382613925,0.329698344
0.25,50,0.366779209,0.328798909
0.4,50,0.368088354,0.324264096
0.5,50,0.352485116,0.312512267
0.6,50,0.348682997,0.30172902
0.7,50,0.353196914,0.29445393
0.8,50,0.332285015,0.291535589
2,50,0.33998439,0.320663136
3,50,0.378221026,0.343150703
4,50,0.407037026,0.36821962
5,50,0.439547342,0.387048748
9,50,0.535975082,0.452671684
0.5,850,0.505252468,0.355335271
0,50,0.480982649,0.362398608
0.02,50,0.463036892,0.350137644
0.05,50,0.468805312,0.345335705
0.1,50,0.428488629,0.359043134
0.15,50,0.45881137,0.353142266
0.2,50,0.413697156,0.349144011
0.25,50,0.417392904,0.35350969
0.4,50,0.410427105,0.360938173
0.5,50,0.411767202,0.354966115
0.6,50,0.381965006,0.340324303
0.7,50,0.376593049,0.330641386
0.8,50,0.394906169,0.326938799
2,50,0.350738867,0.322941139
3,50,0.384518563,0.346941472
4,50,0.394107833,0.365813661
5,50,0.418709934,0.383031452
9,50,0.505252468,0.435452057
2,5950,0.742642017,0.359138493
0,850,0.734248989,0.344317402
